room	room_header	state	entry_door	fx_list	selected_record	expected_type	actual_type	expected_base_y	actual_base_y	target_y	velocity	liquid_options	classification
$00/$00	91F8	9213	default	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	88FE	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	890A	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	8946	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	896A	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	89B2	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9213	8AC6	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	default	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	88FE	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	890A	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	8946	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	896A	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	89B2	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	922D	8AC6	80C0	80C0	Rain	Rain	FFFF	FFFF	FFFF	0000	00	NonLiquidFx
$00/$00	91F8	9247	default	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	88FE	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	890A	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	8946	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	896A	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	89B2	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9247	8AC6	80D0	80D0	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	default	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	88FE	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	890A	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	8946	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	896A	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	89B2	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$00	91F8	9261	8AC6	8000	8000	None	None	FFFF	FFFF	FFFF	0000	00	None
$00/$01	92B3	92C5	default	80E0	80E0	Acid	Acid	00C8	00C8	FFFF	0000	42	VisibleLavaOrAcid
